"","date","flow_cms","temp_c","turb_ntu"
"1","05/01/2001",40.0591782309072,16.5607638888889,1.71660204220765
"2","05/02/2001",42.4050670253941,15.7945601851852,1.80794824759501
"3","05/03/2001",42.2573000044717,15.9924768518519,1.80222161305914
"4","05/04/2001",42.2436986689323,16.6417824074074,1.80169431710767
"5","05/05/2001",43.0092395921835,17.078125,1.83132478114215
"6","05/06/2001",42.4218823751534,17.4126157407407,1.8085996868458
"7","05/07/2001",42.7033182290192,17.8362268518519,1.81949572505071
"8","05/08/2001",42.9611284850895,18.1296296296296,1.82946550129093
"9","05/09/2001",42.4681983385254,18.2326388888889,1.81039375808877
"10","05/10/2001",42.8095204380251,18.2453703703704,1.8236040085283
"11","05/11/2001",42.8213206834702,18.1857638888889,1.8240603685864
"12","05/12/2001",51.3074671953177,17.3408564814815,2.14635922920706
"13","05/13/2001",52.2320164259417,16.7465277777778,2.18077626438608
"14","05/14/2001",52.1895355423393,17.1012731481481,2.17919782341138
"15","05/15/2001",52.2476517511564,17.1521990740741,2.18135714716351
"16","05/16/2001",51.9411403757198,17.509837962963,2.16996266376866
"17","05/17/2001",52.0163669404324,17.9438657407407,2.17276055691551
"18","05/18/2001",51.6959902765978,18.0185185185185,2.16083865704447
"19","05/19/2001",52.2154960823185,18.7233796296296,2.18016245983332
"20","05/20/2001",51.9974865477202,18.994212962963,2.17205842407185
"21","05/21/2001",51.874468988955,19.3402777777778,2.16748221986454
"22","05/22/2001",52.2806924384027,19.1174768518518,2.1825845470503
"23","05/23/2001",52.369194279241,18.140625,2.18587138295196
"24","05/24/2001",52.1273582916057,17.4554398148148,2.17688702439103
"25","05/25/2001",51.8272680071745,16.7540509259259,2.16572573135769
"26","05/26/2001",52.0429174926838,16.1666666666667,2.17374783659972
"27","05/27/2001",52.2706622297744,15.671875,2.18221196159107
"28","05/28/2001",68.9942650807137,15.9357638888889,2.78228595678926
"29","05/29/2001",69.4214339658265,15.9380787037037,2.79707863255096
"30","05/30/2001",69.4314641744548,16.1603009259259,2.79742566537453
"31","05/31/2001",69.3686278674596,16.3709490740741,2.79525137316293
"32","06/01/2001",69.5282261871047,15.7795138888889,2.80077278406517
"33","06/02/2001",77.2373265363919,15.4971064814815,3.06327068136217
"34","06/03/2001",77.6833758142169,15.291087962963,3.07821095431715
"35","06/04/2001",77.6833758142169,15.1354166666667,3.07821095431715
"36","06/05/2001",83.0389172094779,14.8825231481481,3.25553240497247
"37","06/06/2001",87.0923698370821,15.4450231481481,3.38726137916007
"38","06/07/2001",86.6810629661097,15.9351851851852,3.37399044643287
"39","06/08/2001",86.5167445482866,15.7771990740741,3.36868266467362
"40","06/09/2001",87.0073397526669,14.3097643097643,3.38451961800768
"41","06/10/2001",74.2270839233456,16.0975269797116,2.96174132629422
"42","06/11/2001",59.0879590295478,16.2566704982301,2.43186628728987
"43","06/12/2001",54.7838195034457,16.6264621648968,2.27507642205208
"44","06/13/2001",54.9820636269234,16.9331751278597,2.28236016158582
"45","06/14/2001",54.3327551213065,16.8770408686005,2.25848115594717
"46","06/15/2001",54.1336259794204,16.948221424156,2.25114492215858
"47","06/16/2001",54.3584206551496,17.1131519797116,2.25942626875725
"48","06/17/2001",53.9799277824979,17.1478742019338,2.24547823911989
"49","06/18/2001",54.5189039932031,17.4412769797116,2.26533363108889
"50","06/19/2001",54.7248182762201,17.5315547574894,2.27290747267396
"51","06/20/2001",59.3511045029737,17.4117630908227,2.44136111492317
"52","06/21/2001",72.8845109978288,17.3139621648968,2.91606078930876
"53","06/22/2001",74.1518573586331,17.4464853130449,2.95918830883197
"54","06/23/2001",74.1385820825073,17.6096797574894,2.95873769597207
"55","06/24/2001",73.4450226564713,18.0066704982301,2.93516209084301
"56","06/25/2001",74.022349664873,17.1640625,2.95479129993783
"57","06/26/2001",73.5774804115926,16.8304398148148,2.93966971812276
"58","06/27/2001",73.6320565467762,16.3165509259259,2.94152628016823
"59","06/28/2001",73.5706952704616,17.3790509259259,2.93943887372141
"60","06/29/2001",73.712593221939,17.8975694444444,2.94426521688333
"61","06/30/2001",62.3790474841877,18.5179398148148,2.5498731759805
"62","07/01/2001",59.2024214103653,18.8466435185185,2.43599760053074
"63","07/02/2001",58.1032285471538,19.4548611111111,2.39624284284656
"64","07/03/2001",58.3519187199094,19.6278935185185,2.40525320213802
"65","07/04/2001",59.5077527612574,19.0648148148148,2.44700837715712
"66","07/05/2001",57.6512791466062,17.7824074074074,2.37984422585873
"67","07/06/2001",58.3522137260455,19.3567862389708,2.40526388504297
"68","07/07/2001",59.2702728216747,19.8972954982301,2.43844564715925
"69","07/08/2001",57.7866869630888,19.8481056834153,2.38476063000302
"70","07/09/2001",59.0982842443123,19.7086380908227,2.4322390379658
"71","07/10/2001",58.7177263287076,19.9505362389708,2.41848993210089
"72","07/11/2001",58.9401609553479,19.6187739463602,2.42652887335861
"73","07/12/2001",58.2457165109034,19.3952546296296,2.40140650351788
"74","07/13/2001",58.2970475785896,19.7853009259259,2.40326595359136
"75","07/14/2001",57.3102520532427,19.7696759259259,2.36744986320083
"76","07/15/2001",57.5149863117153,19.5138888888889,2.37489288443567
"77","07/16/2001",58.545147739073,19.3327546296296,2.41224769553404
"78","07/17/2001",57.9400901538752,19.5960648148148,2.39032706077735
"79","07/18/2001",58.1011635042009,19.9774305555556,2.39616798465249
"80","07/19/2001",57.5846077598414,19.8923611111111,2.37742249270814
"81","07/20/2001",57.6893349381667,19.7893518518519,2.38122624077715
"82","07/21/2001",57.5061361276314,19.9427083333333,2.3745712714384
